Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
India,IND,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-0.982342580017138,0.290495460210207,1.37093793900847,1.44355773291234,0.110018010197153,-1.25350400207393,-0.988988302952292,-0.66371764877261,-2.58337749259838,-1.95146209111802,-3.25348368945179,-3.42928468606061,-5.00488971805303,-2.64566711733892,-1.33950896483453,-1.06754907167965,-0.52788060603752,-1.43948820320989,-2.42697545810527,-1.04961203910072,1.22362111042791,-1.05524166809383,-2.36247481487452,-0.878449448896405,-0.828801355740078
India,IND,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,21.8228803066691,20.6760979408451,20.6731997171964,19.7091758741244,17.5588240572864,14.8800140528443,17.0996791242773,16.8414102457773,19.0572058938661,19.2155611185983,17.520327243228,18.5055609944676,21.7351878662519,23.3008757774803,22.7049198417658,23.0297689509967,20.0812235448632,19.5049373712632,19.4905310721105,19.9766366353145,21.4094740100862,19.5524130311129,18.6103165564092,18.398392023483,..
India,IND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.765211694280819,1.05638020993358,1.01156946489919,0.605887857091794,0.765596855110284,0.886098378458823,2.13016842534495,2.07339404668754,3.62052323540171,2.6515903323548,1.6350340943491,2.0020634629993,1.31293453035324,1.5162764665975,1.69565958990807,2.09211521443253,1.9373641224439,1.50731583255894,1.55821483801456,1.78482633957161,2.40620322673636,1.41217101040888,1.49248825904,0.771720975088408,0.705636448953538
United States,USA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-3.92088461637514,-3.72407526075822,-4.17334150234402,-4.55897769378821,-5.20485224269137,-5.74598267055862,-5.91102091022869,-5.08872735734161,-4.71585990444596,-2.62283632200348,-2.87064145448882,-2.91862065322661,-2.57236847367136,-2.01090797096302,-2.10117617206317,-2.2325584903738,-2.10699725119707,-1.87442427129943,-2.12935714812701,-2.05082808332895,-2.81541652061746,-3.66529172058257,-3.8916721040072,-3.26607086420481,-3.88426682437385
United States,USA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.40578123865959,1.63009976725416,1.01613965201918,1.0221840098809,1.74869094348654,1.09166231632209,2.16033590475335,2.39469075656401,2.30937838146355,1.11260018343609,1.75453192115262,1.68911235141732,1.54020833064168,1.70686814034716,1.43033863092168,2.79548220201356,2.52268117379751,1.94177554246862,1.03945408799819,1.46696501417689,0.641871902381299,2.00921229782091,1.57259077429972,1.25820735681761,1.32942080645156
Russian Federation,RUS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,17.4742424828314,10.4545347443772,7.9523289090993,7.69799200510312,9.90832254287658,11.0454169715192,9.32544491399994,5.55457619335894,6.25797161157479,4.12086933736946,4.4233366535099,4.75452652542426,3.22793090052757,1.45817388483059,2.79290979175164,4.97088857375125,1.91643731021353,2.04412673615753,6.97989872935135,3.87612476973049,2.36911533657246,6.83107025995823,10.3741278519981,2.38662145137302,2.86529184075621
Russian Federation,RUS,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.03116111575235,0.928663004211825,1.00553594478556,1.84237888462157,2.60618528064118,2.02980703784767,3.7977120943899,4.29895594841933,4.50269424864822,2.99212552042529,2.8308286983175,2.69236118071968,2.29079869889368,3.01940211363344,1.0698764102333,0.502607961400285,2.54849998807899,1.81409297475419,0.530060790633169,1.88851731564914,0.634851184443604,2.21136527873962,-1.73680981421063,-0.484918283286507,-0.376108442730925
France,FRA,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,1.1848394944316,1.52989945223821,1.18270439802011,0.871063406872808,0.434470120439983,-0.00650919177703098,0.0221896585541474,-0.328279950461903,-0.962244945077225,-0.81848014778611,-0.832545468638349,-1.02802797917579,-1.22530807843013,-0.59799045690811,-0.962733699381151,-0.334528437032909,-0.538632351885894,-0.474615185215669,-0.735670615255371,0.587362764575748,-2.00313613657686,0.244238511780542,-1.18259080268105,-0.993970970723725,0.391586848719543
France,FRA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.04117027418416,3.65899790543178,3.45413596292303,2.30782482603352,1.68777447237363,3.88373065839251,3.40646118259264,3.15449449926763,2.32326700027606,0.682311492843149,1.46961673029144,1.54005293306163,1.22790071519382,1.18823404938295,0.176974174772525,1.76596182973896,1.44200321416196,1.68928072199317,2.78594184568695,1.96486943301562,0.731471704018579,3.30405312221271,3.91856445477022,0.288462113991059,1.75317440995299
