Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands
Afghanistan,2000,10.4208171386207,3521418059.92345,-9.4319740700862,174.930991430166,36.2890774127896,12.6862687216715,46.7098945514103,12.82,73.968,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,-2.35799044700136,13.7928583731895,0.0048276006173403,34.14181818181818,56.555,53.463,55.005,1.21217597601851,5.3122727272727275,7.935,22.078,80009.0,97458.11605263158,5593.225,35.0,76.0,36.0,2800315.0,7406816.82,201356.1,15657474.0,20130327.0,10035682.0,10094646.0,4436282.0,5.0,594.0,0.0,2582228.0,2582228.0,50.0,715539.0
Afghanistan,2001,10.4208171386207,2813571753.87253,-9.4319740700862,138.706821676113,36.2890774127896,12.6862687216715,46.7098945514103,12.728,73.913,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,-2.35799044700136,13.7928583731895,0.0241685679088889,34.14181818181818,57.089,53.941,55.511,0.762004896898895,5.3122727272727275,7.953,22.169,70986.11428571428,88741.79539473685,5692.111111111111,35.0,76.0,36.0,2484514.0,6744376.45,204916.0,16318324.0,20284307.0,10104514.0,10179792.0,4648139.0,5.0,485.0,20.0,204425.0,204695.0,10.0,2837.0
Afghanistan,2002,10.4208171386207,3825701438.99963,28.6000011706788,178.954088379235,36.2890774127896,12.6862687216715,46.7098945514103,12.691,73.859,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,-2.35799044700136,13.7928583731895,1.30694987042884,34.14181818181818,57.442,54.986,56.225,5.25202958527833,5.3122727272727275,7.93,22.261,75059.37142857142,125620.09249999998,5719.302777777778,35.0,76.0,36.0,2627078.0,9547127.03,205894.9,17086910.0,21378117.0,10640919.0,10737198.0,4893013.0,16.0,4083.0,1391.0,302279.0,313670.0,0.0,6538.0
Afghanistan,2003,10.4208171386207,4520946818.54581,8.83227780288267,198.871115728727,36.2890774127896,12.6862687216715,46.7098945514103,12.7,73.805,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,-2.35799044700136,13.7928583731895,1.27849325196424,34.14181818181818,58.472,55.849,57.171,6.14519400188515,5.3122727272727275,7.88,22.353,96878.6,133275.83157894737,5649.063888888889,35.0,76.0,36.0,3390751.0,10128963.2,203366.3,17909063.0,22733049.0,11306364.0,11426685.0,5155788.0,9.0,137.0,4.0,500.0,4754.0,0.0,0.0
Afghanistan,2004,10.4208171386207,5224896718.67782,1.41411799339429,221.763653873013,36.2890774127896,12.6862687216715,46.7098945514103,12.741,73.684,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,-2.35799044700136,13.7928583731895,3.577104200584,34.14181818181818,59.073,56.519,57.81,3.57583485398158,5.3122727272727275,7.899,22.5,86743.97142857143,121367.41197368421,5813.883333333333,35.0,76.0,36.0,3036039.0,9223923.31,209299.8,18692107.0,23560654.0,11709120.0,11851533.0,5426872.0,3.0,18.0,40.0,2800.0,5540.0,0.0,18.0
Afghanistan,2005,10.4208171386207,6203256538.70967,11.2297148272859,254.184249149336,36.2890774127896,12.6862687216715,46.7098945514103,12.83,73.58,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,-2.35799044700136,13.7928583731895,4.36867310434287,34.14181818181818,59.588,56.88,58.247,3.51921696042587,5.3122727272727275,7.885,22.703,99192.77142857143,150167.69894736842,5620.144444444445,35.0,76.0,36.0,3471747.0,11412745.120000001,202325.2,19378962.0,24404567.0,12119909.0,12284657.0,5691836.0,12.0,570.0,44.0,37901.0,44720.0,5050.0,1856.0
Afghanistan,2006,10.4208171386207,6971758282.29351,5.35740324748592,274.218553561575,36.2890774127896,6.78459655001655,46.7098945514103,12.958,73.427,10.862,35.109,55.606,69.011,33.684,7.86,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,-2.35799044700136,13.7928583731895,3.41377297323201,34.14181818181818,60.123,56.974,58.553,4.09270201656348,5.3122727272727275,7.914,22.907,97660.77142857143,136746.04210526316,5557.9944444444445,35.0,76.0,36.0,3418127.0,10392699.2,200087.8,19961972.0,25424094.0,12618615.0,12805479.0,5931478.0,13.0,382.0,185.0,2225515.0,2233910.0,0.0,74323.0
Afghanistan,2007,10.4208171386207,9747886187.39393,13.8263195471281,376.223152003876,36.2890774127896,8.68057078513406,46.7098945514103,13.168,73.344,11.149,35.109,55.722,69.011,33.883,7.86,9.956,7.578,7.38,14.091,6.141,10.337,7.341,7.817,13.746,9.362,10.098,-2.35799044700136,20.4806758495246,1.93570171391636,34.14181818181818,60.804,57.122,58.956,1.8925975396006,5.3122727272727275,7.817,23.113,98963.34285714285,155234.38513157895,5706.825000000001,35.0,76.0,36.0,3463717.0,11797813.27,205445.7,20464923.0,25909852.0,12853489.0,13056362.0,6151869.0,7.0,296.0,20.0,26755.0,30255.0,0.0,0.0
Afghanistan,2008,10.4208171386207,10109297047.5432,3.92498381999467,381.73323802844,36.2890774127896,26.4186641547444,46.7098945514103,13.402,73.104,11.478,35.109,55.755,69.011,34.062,7.86,9.956,7.578,7.38,14.091,6.141,10.397,7.393,7.878,13.749,9.384,10.135,-2.35799044700136,21.2121323521857,0.45536044478174,34.14181818181818,61.428,57.984,59.708,2.18654618162979,5.3122727272727275,7.878,23.32,90067.45714285714,129646.33947368422,5885.930555555556,35.0,76.0,36.0,3152361.0,9853121.8,211893.5,20929119.0,26482622.0,13131734.0,13350888.0,6364912.0,4.0,1334.0,182.0,452602.0,452964.0,0.0,3417.0
Afghanistan,2009,10.4208171386207,12416152732.0567,21.3905283926492,452.053705477043,36.2890774127896,-6.81116108898996,46.7098945514103,13.694,72.982,11.869,29.90025,55.865,67.0655,34.313,7.86,9.956,7.578,7.38,14.091,6.141,10.243,7.264,7.754,13.539,9.252,10.008,2.23601941932175,20.0367248536922,0.45188914562189,34.14181818181818,61.791,58.681,60.248,3.64638090813246,5.3122727272727275,7.754,23.528,104261.25714285714,168455.4947368421,7010.525,35.0,76.0,36.0,3649144.0,12802617.6,252378.9,21415593.0,27466100.0,13612943.0,13853157.0,6588738.0,5.0,101.0,86.0,62521.0,65857.0,20000.0,0.0
Afghanistan,2010,10.4208171386207,15856668555.8336,14.3624414710737,560.621505463146,36.2890774127896,2.17853752389419,46.7098945514103,13.983,72.755,12.263,24.6915,55.897,65.12,34.527,7.86,9.956,7.578,7.38,14.091,6.141,10.23,7.255,7.753,13.469,9.222,9.99,-3.64331388234628,15.3334973971382,1.20311798981139,34.14181818181818,62.283,59.097,60.702,2.93468670173474,5.3122727272727275,7.753,23.737,98086.05714285714,157948.3725,6216.022222222222,35.0,76.0,36.0,3433012.0,12004076.31,223776.8,21966187.0,28284089.0,14011779.0,14272309.0,6836980.0,5.0,350.0,200.0,45000.0,46200.0,0.0,3766.0
Afghanistan,2011,10.4208171386207,17805098206.3141,0.426354776777345,606.694676337726,36.2890774127896,11.8041858089129,46.7098945514103,14.265,72.511,12.645,19.482750000000003,55.896,63.174499999999995,34.719,7.86,9.956,7.578,7.38,14.091,6.141,10.253,7.276,7.784,13.441,9.22,10.003,-12.6195382087159,13.9770517017747,0.293025179616803,34.14181818181818,62.852,59.625,61.25,3.69150308391849,5.3122727272727275,7.784,23.948,92760.91428571429,137792.9677631579,6120.325000000001,35.0,76.0,36.0,3246632.0,10472265.55,220331.7,22594126.0,29347708.0,14532542.0,14815165.0,7114473.0,4.0,83.0,115.0,1753000.0,1762815.0,142000.0,0.0
Afghanistan,2012,10.4208171386207,19907329777.5872,12.7522870926697,651.417134470046,36.2890774127896,6.44121280934117,46.7098945514103,14.534,72.252,13.01,14.274,55.868,61.229,34.89,7.86,9.956,7.578,7.38,14.091,6.141,10.325,7.338,7.856,13.465,9.255,10.054,-25.8706814974751,12.9281604362278,0.285440893554571,34.14181818181818,63.344,60.099,61.735,4.04786256315645,5.3122727272727275,7.856,24.16,102162.28571428571,166748.97026315788,6185.394444444445,35.0,76.0,36.0,3575680.0,12672921.74,222674.2,23280663.0,30560034.0,15127147.0,15432887.0,7416295.0,11.0,380.0,438.0,51359.0,54812.0,0.0,0.0
Afghanistan,2013,10.4208171386207,20146416757.5987,5.60074465863221,637.087099117099,36.2890774127896,7.38577178397855,46.7098945514103,15.361,71.422,13.819,19.901,55.211,61.2785,34.957,7.86,9.956,7.578,7.38,14.091,6.141,10.372,7.384,7.93,13.465,9.269,10.112,-25.290058564309,12.8048363659593,0.239801184405551,34.14181818181818,63.814,60.534,62.188,3.41822667584596,5.3122727272727275,7.93,24.373,102866.77142857143,169520.01578947366,6324.802777777778,35.0,76.0,36.0,3600337.0,12883521.2,227692.9,23997856.0,31622704.0,15647752.0,15974952.0,7733832.0,6.0,155.0,143.0,21485.0,21628.0,0.0,0.0
Afghanistan,2014,10.4208171386207,20497128555.6972,2.72454336219565,625.054941813938,36.2890774127896,4.67399603536345,46.7098945514103,16.239,70.63,14.676,25.528,54.566,61.328,35.055,7.86,9.956,7.578,7.38,14.091,6.141,10.317,7.342,7.915,13.368,9.21,10.094,-15.7724198274304,12.3049882693651,0.209664794672203,34.14181818181818,64.009,60.495,62.26,3.63251884652008,5.3122727272727275,7.915,24.587,109505.91428571429,188463.12233766232,6194.538888888888,35.0,77.0,36.0,3832707.0,14511660.42,223003.4,24703798.0,32792523.0,16221843.0,16570680.0,8054222.0,3.0,575.0,135.0,140020.0,142055.0,3000.0,0.0
Afghanistan,2015,10.4208171386207,19134221644.7325,1.45131466066431,565.569730408751,36.2890774127896,-0.661709164713742,46.7098945514103,16.893,68.981,15.065,22.218333333333334,52.478,57.23066666666667,34.184,10.393333333333334,16.800333333333334,9.028,9.014333333333333,17.401666666666667,7.713333333333334,11.611,8.401,9.052,16.05,11.537,12.55,-21.9126573355151,13.4908301094464,0.88400046336123,34.14181818181818,64.178,60.363,62.27,3.11995924146907,5.3122727272727275,9.052,24.803,92082.38888888889,171074.4946153846,5268.562162162162,36.0,78.0,37.0,3314966.0,13343810.58,194936.8,25368923.0,33831764.0,16732243.999999998,17099520.0,8367571.0,7.0,446.0,58174.0,26575.0,129849.0,3000.0,0.0
Afghanistan,2016,10.4208171386207,18116572395.0772,2.26031420279821,522.082215583898,36.2890774127896,4.38389195513915,46.7098945514103,17.569,67.372,15.447,18.908666666666665,50.436,53.13333333333333,33.333,12.926666666666668,23.644666666666666,10.478000000000002,10.648666666666667,20.712333333333333,9.285666666666668,12.834,9.399,10.133,18.633,13.803,14.947,-14.9501951919169,14.1470450360055,0.516606084523093,34.14181818181818,64.64,60.661,62.646,2.53571991833963,5.3122727272727275,10.133,25.02,95175.81081081081,181452.59139240504,4561.0921052631575,37.0,79.0,38.0,3521505.0,14334754.719999999,173321.5,25985093.0,34700612.0,17159297.0,17541316.0,8670939.0,4.0,84.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,2017,10.4208171386207,18753456497.8159,2.6470032027451,525.469770891619,36.2890774127896,4.97595150553833,46.7098945514103,18.262,65.794,15.817,15.599,48.435,49.036,32.489,15.46,30.489,11.928,12.283,24.023,10.858,14.018,10.363,11.184,21.157,16.031,17.31,-18.9559612272258,14.5133427404056,0.274796791572807,34.14181818181818,65.606,59.388,62.406,2.80833730805469,5.3122727272727275,11.184,25.25,81687.1081081081,167952.32341772152,5575.421052631579,37.0,79.0,38.0,3022423.0,13268233.55,211866.0,26558609.0,35688935.0,17649936.0,18038999.0,8971472.0,5.0,226.0,45.0,9545.0,11240.0,0.0,0.0
Afghanistan,2018,10.4208171386207,18053222687.4126,1.18922812944517,491.337221382603,36.2890774127896,0.626149149168847,46.7098945514103,16.879,64.097,15.49,14.761666666666667,49.644,47.64033333333333,32.94,15.101333333333335,29.574333333333335,12.022333333333334,11.889666666666667,22.631333333333334,10.563333333333334,14.783,10.198,11.196,20.534,15.073,16.394,-21.5852741164653,14.6424246657516,0.661572217787196,34.14181818181818,65.942,59.175,62.443,2.91080959861384,5.3122727272727275,11.196,25.495,67180.64864864865,155301.63886075947,5916.168421052632,37.0,79.0,38.0,2485684.0,12268829.469999999,224814.4,27099874.0,36743039.0,18178417.0,18564622.0,9273302.0,5.0,113.0,0.0,13504000.0,13504000.0,0.0,0.0
Afghanistan,2019,10.4208171386207,18799444490.1128,3.91160341625552,496.6025042585,36.2890774127896,2.30237251516834,46.7098945514103,15.458,62.436,15.019,13.924333333333333,50.912,46.24466666666667,33.351,14.742666666666667,28.659666666666666,12.116666666666667,11.496333333333332,21.239666666666665,10.268666666666666,15.549,10.031,11.185,19.96,14.142,15.496,-20.1704643881064,13.9496520351375,0.124495985291258,34.14181818181818,66.144,59.91,62.941,2.98438913621969,5.3122727272727275,11.185,25.754,89921.62162162163,186565.14911392407,6086.510526315789,37.0,79.0,38.0,3327100.0,14738646.780000001,231287.4,27626382.0,37856121.0,18736474.0,19119647.0,9582625.0,7.0,211.0,17.0,123150.0,130942.0,0.0,0.0
Afghanistan,2020,10.4208171386207,19955929052.1496,-2.35110067203466,510.787063366811,36.2890774127896,5.60188791482224,46.7098945514103,13.709,59.771,12.927,13.087,43.476,44.849,28.528,14.384,27.745,12.211,11.103,19.848,9.974,16.778,10.456,11.71,21.237,14.449,16.053,-15.7183027911684,15.1208585304773,0.0649939571808755,34.14181818181818,64.656,58.455,61.454,3.15360920291972,5.3122727272727275,11.71,26.026,102071.48648648648,198541.34822784812,6188.594736842106,37.0,79.0,38.0,3776645.0,15684766.510000002,235166.6,28150604.0,39068979.0,19343528.0,19725450.0,9904337.0,7.0,328.0,251.0,42941.0,51817.0,0.0,0.0
Afghanistan,2021,14.342152797537,14259995441.0759,-20.7388393676343,356.496214115892,37.06956357719,5.13320340824963,51.4117163747271,12.181,59.946,11.55,17.946,43.734,55.955,27.984,9.781,20.211,8.412,6.754,10.563,6.258,16.945,10.911,11.994,21.372,15.033,16.395,-15.7183027911684,24.7857399527695,0.144466946606861,34.14181818181818,64.079,57.052,60.417,2.35609779179185,5.3122727272727275,11.994,26.314,85451.83783783784,190831.25734177214,6162.615789473684,37.0,79.0,38.0,3161718.0,15075669.33,234179.4,28674023.0,40000412.0,19813956.0,20186456.0,10239684.0,4.0,396.0,33.0,11035000.0,11035033.0,0.0,0.0
Afghanistan,2022,18.3800424016375,14497243872.1337,-6.24017199240269,357.261152798144,54.5054272070161,13.7121023720065,72.8854696086536,3.779,60.977,4.354,17.946,58.881,55.955,32.204,9.781,20.211,8.412,6.754,10.563,6.258,26.742,13.168,14.1,30.061,16.289,17.365,-15.7183027911684,23.3368489769108,0.144466946606861,34.14181818181818,67.236,63.941,65.617,1.43570437048699,5.3122727272727275,14.1,26.616,79358.05263157895,185343.872125,6209.805128205128,38.0,80.0,39.0,3015606.0,14827509.77,242182.4,29191512.0,40578842.0,20103167.0,20475675.0,10587583.0,8.0,1335.0,3312.0,613602.0,635414.0,0.0,0.0
Afghanistan,2023,16.8527881206002,17152234636.8715,2.26694373649188,413.757894705303,50.7318770310383,-4.64470870797775,67.5846651516385,3.785,61.056,4.387,17.946,59.113,55.955,32.362,9.781,20.211,8.412,6.754,10.563,6.258,26.57,13.066,13.991,29.927,16.219,17.291,-15.7183027911684,19.7980988255309,0.144466946606861,34.14181818181818,67.536,64.467,66.035,2.13559384981397,5.3122727272727275,13.991,26.933,82710.92105263157,230124.09984375,6146.5205128205125,38.0,64.0,39.0,3143015.0,14727942.39,239714.3,29701149.0,41454761.0,20530683.0,20924078.0,10948055.0,6.0,2688.0,9509.0,690765.0,700274.0,0.0,0.0
Afghanistan,2024,16.8527881206002,17152234636.8715,2.26694373649188,413.757894705303,50.7318770310383,-6.60118564073726,67.5846651516385,3.795,61.213,4.534,17.946,59.048,55.955,32.419,9.781,20.211,8.412,6.754,10.563,6.258,25.636,12.394,13.295,26.999,15.82,16.691,-15.7183027911684,19.7980988255309,0.144466946606861,34.14181818181818,67.536,64.467,66.035,2.83657317243522,5.3122727272727275,13.295,27.265,82710.92105263157,230124.09984375,6146.5205128205125,0.0,0.0,0.0,0.0,0.0,0.0,29701149.0,41454761.0,20530683.0,20924078.0,10948055.0,9.0,2023.0,44514.0,633750.0,681414.0,0.0,0.0
Argentina,2000,10.9863752325576,284203750000.0,-0.78899893905691,7637.01489203628,11.6360695451767,3.9754914090590114,22.6224447777343,42.284,64.304,25.983,26.014,37.6,40.883,31.895,13.78,14.5,12.99,22.04,19.64,23.31,16.356,14.029,15.0,35.209,30.295,32.348,-3.15992237703676,54.2417099417586,3.66579059535379,51.0,77.288,70.498,73.91,1.13312807570195,7.3,15.0,89.142,342899.2162162162,996824.2315151516,9613.361333333332,74.0,132.0,75.0,25374542.0,131580798.56,721002.1,4023693.0,37213984.0,18870186.0,18343798.0,33033759.0,7.0,37.0,40.0,30300.0,38570.0,300000.0,0.0
Argentina,2001,11.5790080825317,268696750000.0,-4.40883968258557,7141.47507662826,10.2732473690136,3.9754914090590114,21.8522554515453,41.193,61.323,25.254,26.014,34.24,40.883,29.828,13.78,14.5,12.99,22.04,19.64,23.31,17.191,17.411,17.32,36.754,37.235,37.036,-1.40694788500181,58.4932935172091,0.806164134759348,53.3,77.642,70.637,74.154,1.09794672757946,10.7,17.32,89.329,344208.86486486485,1017731.8370454547,9828.501333333334,74.0,132.0,75.0,25471456.0,134340602.49,737137.6,3998739.0,37624825.0,19076996.0,18547830.0,33472769.999999996,6.0,35.0,150.0,254800.0,256950.0,765000.0,0.0
Argentina,2002,28.3825969991682,97724004251.8602,-10.8944848285903,2569.69963519124,13.370127359396,3.9754914090590114,41.7527243585642,38.862,58.368,23.794,26.014,32.2,40.883,28.074,13.78,14.5,12.99,22.04,19.64,23.31,18.823,20.122,19.59,39.84,42.427,41.378,8.97078467784247,159.890183546743,2.19895819502207,53.8,77.911,70.704,74.312,1.06941318335345,17.1,19.59,89.51,354625.5,1013040.3573484849,9591.638666666668,74.0,132.0,75.0,26242287.0,133721327.17,719372.9,3974741.0,38029349.0,19281383.0,18747966.0,33914629.0,4.0,7.0,27.0,11700.0,11927.0,0.0,0.0
Argentina,2003,25.9309429264224,127586973492.177,8.83704079576924,3320.47775133903,14.7138051046861,3.9754914090590114,40.6447480311085,40.308,63.646,24.725,26.014,38.842,40.883,31.914,11.68,13.69,9.43,17.29,20.97,15.32,17.577,13.806,15.36,37.729,29.607,32.933,6.37990680177011,133.474955613907,1.29481086883944,51.0,77.808,70.796,74.307,1.0331399769648,8.2,15.36,89.686,358094.8783783784,1061508.4002272727,9799.366666666667,74.0,132.0,75.0,26499021.0,140119108.82999998,734952.5,3951197.0,38424282.0,19480492.0,18943790.0,34358182.0,4.0,39.0,0.0,143900.0,163900.0,1148210.0,2636.0
Argentina,2004,23.8476194239892,164657930452.787,9.02957330068152,4242.02099089422,16.8450266849578,3.9754914090590114,40.692646108947,42.058,65.74,26.092,26.014,40.254,40.883,33.307,5.732,6.749,4.411,14.753,18.146,12.736,15.823,11.893,13.522,34.538,26.021,29.544,1.95058324319273,114.783966038451,2.5050175164097,48.5,78.177,71.5,74.871,1.01407652046238,6.0,13.522,89.86,371790.47297297296,1064151.68,9881.213333333333,74.0,132.0,75.0,27512495.0,140468021.76,741091.0,3927028.0,38815916.0,19676038.0,19139877.0,34801668.0,3.0,10.0,7.0,6300.0,6307.0,0.0,0.0
Argentina,2005,23.2458767338576,198737095012.282,8.85165992013437,5067.65342293276,17.3053942367662,3.9754914090590114,40.5512709706238,42.423,67.125,25.623,25.525,40.871,41.383,33.395,5.02,5.655,4.214,13.131,15.881,11.553,13.596,10.053,11.506,30.653,23.239,26.207,2.65363142179073,74.2469415660219,2.64935441452167,47.8,78.632,71.767,75.231,1.02745772191722,4.4,11.506,90.031,385557.97297297296,1226857.1468421053,10167.762666666666,74.0,133.0,75.0,28531290.0,163172000.53,762582.2,3902354.0,39216789.0,19874796.0,19341994.0,35243134.0,1.0,11.0,52.0,0.0,252.0,0.0,0.0
Argentina,2006,23.0266946038115,232557260817.308,8.04715150043027,5869.38028970204,17.4067852681036,3.9754914090590114,40.4334798719151,43.556,68.246,27.218,27.136,41.858,42.354,34.685,3.767,4.392,2.903,11.366,14.608,9.525,12.429,8.422,10.078,29.203,19.944,23.777,2.79449564264943,52.8779757006235,2.38106854489628,46.4,78.437,72.021,75.279,1.02824760534561,3.5,10.078,90.2,382373.0675675676,1206972.6086466163,10115.456,74.0,133.0,75.0,28295607.0,160527356.95,758659.2,3876846.0,39622115.0,20074296.0,19547820.0,35682044.0,1.0,0.0,0.0,4500.0,4500.0,0.0,0.0
Argentina,2007,22.6627503115066,287530508430.568,9.00765087504757,7185.25155147027,18.2824203070644,3.9754914090590114,40.945170618571,43.772,68.764,27.812,27.128,42.115,42.075,35.111,3.7965,4.410500000000001,2.9635,10.370000000000001,13.5365,8.611,10.49,7.062,8.47,24.361,17.39,20.241,2.1036160391819,43.1501917496034,2.25129423568361,46.3,77.925,71.574,74.783,0.991101935066697,2.8,8.47,90.366,413685.2702702703,1317814.5972180453,9899.421333333334,74.0,133.0,75.0,30612710.0,175269341.43,742456.6,3850764.0,40016763.0,20266488.0,19750275.0,36119460.0,3.0,19.0,0.0,130000.0,135000.0,40000.0,0.0
Argentina,2008,22.0609003826242,361558037110.419,4.05723310346406,8944.1102657357,18.341772996414,3.9754914090590114,40.4026733790382,43.379,68.659,27.346,27.12,41.349,41.796,34.496,3.826,4.429,3.024,9.374,12.465,7.697,9.748,6.52,7.837,22.118,16.765,18.927,1.49940141614234,36.7970755463574,2.68990096507093,45.0,78.577,72.192,75.428,1.01288878477428,2.6,7.837,90.53,436364.3108108108,1368273.4690977442,9984.857333333333,74.0,133.0,75.0,32290959.0,181980371.39,748864.3,3824321.0,40424148.0,20464391.0,19959757.0,36558068.0,1.0,0.0,0.0,85000.0,85000.0,0.0,0.0
Argentina,2009,19.5609850560818,332976484577.619,-5.91852507634947,8150.23527028221,14.4961418494061,3.9754914090590114,34.0571269054879,43.973,67.676,25.827,25.593,40.65,41.118,33.398,4.055,4.626,3.246,10.267,11.968,9.354,9.871,7.788,8.645,24.521,19.004,21.184,2.1785669619099,41.4244681423918,1.20643922647566,43.8,78.593,72.449,75.577,1.05977470732485,2.4,8.645,90.691,394174.7297297297,1093748.2927819549,10035.769333333332,74.0,133.0,75.0,29168930.0,145468522.94,752682.7,3798178.0,40854831.0,20673508.0,20181322.0,37001229.0,5.0,29.0,24.0,67494.0,67518.0,15000.0,0.0
Argentina,2010,18.9338234053709,423627422092.49,10.1253981561002,10260.1313108254,16.0371898581987,3.9754914090590114,34.9710132635696,43.292,68.413,24.901,24.839,40.933,41.32,33.092,3.045,3.526,2.395,8.966,10.912,7.961,9.221,6.685,7.714,23.565,16.727,19.381,-0.383118699737133,30.9493567310993,2.67516171886537,43.7,78.732,72.542,75.68,1.05636332156278,1.5,7.714,90.849,410664.7837837838,1300300.389402985,10127.234666666667,74.0,134.0,75.0,30389194.0,174240252.18,759542.6,3772300.0,41288694.0,20883716.0,20404978.0,37451589.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0
Argentina,2011,18.4492091453155,530158122010.442,6.00395169280579,12704.2831819684,16.7569458546489,3.9754914090590114,35.2061549999644,43.861,69.344,25.003,24.98,41.158,41.425,33.258,2.915,3.764,1.802,8.347,9.604,7.72,8.522,6.267,7.18,22.086,16.609,18.71,-1.00728084144866,27.7443463568229,2.04465997872008,42.7,79.402,72.739,76.1,1.06474009749784,1.2,7.18,90.99,465424.02702702704,1407887.5750000002,10517.769333333332,74.0,134.0,75.0,34441378.0,188656935.05,788832.7,3753490.0,41730660.0,21099010.0,20631650.0,37903389.0,1.0,0.0,0.0,3000.0,3000.0,104000.0,0.0
Argentina,2012,16.2378594620246,545982375701.128,-1.0264204544321,12949.717486654,14.2886829096862,3.9754914090590114,30.5265423717108,43.807,68.789,24.314,24.245,41.472,41.865,33.082,2.991,3.801,1.858,8.201,10.314,7.145,8.841,6.101,7.217,23.025,15.452,18.34,-0.39159512386959,26.2398392717053,2.80667189982932,41.4,78.672,72.851,75.802,1.0276613644946,1.3,7.217,91.121,457355.7972972973,1299101.3318656716,10112.733333333334,74.0,134.0,75.0,33844329.0,174079578.47,758455.0,3737979.0,42161721.0,21307319.0,20854403.0,38358760.0,3.0,25.0,30.0,17500.0,19530.0,12000.0,0.0
Argentina,2013,14.6171733884386,552025140252.246,2.40532378079436,12963.675773326,14.7167556136651,3.9754914090590114,29.3339290021037,43.588,68.381,23.841,23.541,40.289,40.661,32.246,3.243,3.891,2.389,8.17,10.231,7.124,8.508,6.137,7.1,23.28,17.281,19.555,-2.37749566620574,27.809883508059,1.77920553648531,41.1,78.623,72.963,75.829,0.992958989681133,1.1,7.1,91.249,463423.0,1410947.3273134327,10166.792,74.0,134.0,75.0,34293302.0,189066941.85999998,762509.4,3722489.0,42582455.0,21507071.0,21075384.0,38817436.0,2.0,56.0,12.0,350000.0,350012.0,1302000.0,0.0
Argentina,2014,14.4054785893756,526319673731.638,-2.51261532081394,12233.1444119186,14.0013150558519,3.9754914090590114,28.4067936452275,43.437,67.331,23.785,23.385,38.299,38.777,31.201,3.249,3.918,2.321,8.56,10.161,7.753,8.394,6.494,7.268,22.271,17.153,19.137,-1.74400211981355,30.3338678915012,0.962406650325519,41.8,79.15,73.303,76.268,1.0317435786984,1.1,7.268,91.377,460960.52702702704,1419405.2550370372,10113.226666666667,74.0,135.0,75.0,34111079.0,191619709.43,758492.0,3706372.0,43024072.0,21718371.0,21305701.0,39275143.0,4.0,27.0,0.0,7553.0,7553.0,62000.0,0.0
