Country,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Trade (% of GDP),"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Unemployment with advanced education (% of total labor force with advanced education),"Unemployment with advanced education, female (% of female labor force with advanced education)","Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with basic education (% of total labor force with basic education),"Unemployment with basic education, female (% of female labor force with basic education)","Unemployment with basic education, male (% of male labor force with basic education)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)_x","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Current account balance (% of GDP),External debt stocks (% of GNI),"Foreign direct investment, net inflows (% of GDP)",Gini index,"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"Unemployment, total (% of total labor force) (modeled ILO estimate)_y",Urban population (% of total population),agr_area_harvested_avg,agr_production_avg,agr_yield_avg,agr_area_harvested_item_count,agr_production_item_count,agr_yield_item_count,agr_area_harvested_total,agr_production_total,agr_yield_total,pop_rural_population,pop_total_population___both_sexes,pop_total_population___female,pop_total_population___male,pop_urban_population,disaster_count,disaster_deaths,disaster_injured,disaster_affected,disaster_total_affected,disaster_damage_usd_thousands,disaster_aid_usd_thousands,Trade_Dependency_Index,Resilience_Score,Spending_Efficiency,Shock_Impact_Score
Afghanistan,2000,0.025273003229782612,3521418059.92345,0.3023556482319433,0.0004228278870357042,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14533266890642832,0.7125625975984062,10.565,35.109,55.694,69.011,33.549,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.935,14.022,9.507,10.235,-2.35799044700136,0.03842566621414077,0.0048276006173403,34.14181818181818,56.555,53.463,0.0,1.21217597601851,5.312272727272728,7.935,22.078,80009.0,97458.11605263158,5593.225,35.0,76.0,36.0,2800315.0,7406816.82,201356.1,15657474.0,0.011163132169628739,10035682.0,10094646.0,4436282.0,5.0,0.006715658564160542,0.0,0.007452267197839996,2582228.0,2.352719744024092e-07,715539.0,0.16782998666220472,0.23668379761378658,0.0010626632009590822,1.2690785829747213
Afghanistan,2001,0.025273003229782612,2813571753.87253,0.3023556482319433,0.0,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14385378321464737,0.7110817941952505,10.465,35.109,55.608,69.011,33.464,7.86,9.956,7.578,7.38,14.091,6.141,10.508,7.484,7.953,14.054,9.529,10.254,-2.35799044700136,0.03842566621414077,0.0241685679088889,34.14181818181818,57.089,53.941,0.017120622568093546,0.762004896898895,5.312272727272728,7.953,22.169,70986.11428571428,88741.79539473685,5692.111111111111,35.0,76.0,36.0,2484514.0,6744376.45,204916.0,16318324.0,0.011269012846218228,10104514.0,10179792.0,4648139.0,5.0,0.005483323911814585,5.4241848128249426e-05,0.000589967160885267,204695.0,4.705439488048184e-08,2837.0,0.16782998666220472,0.24594470763197868,0.0,0.5437065652750481
Afghanistan,2002,0.025273003229782612,3825701438.99963,0.7247345027196492,0.00046978762673061635,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14325901396903984,0.7096279144903341,10.432,35.109,55.558,69.011,33.43,7.86,9.956,7.578,7.38,14.091,6.141,10.483,7.463,7.93,14.029,9.512,10.234,-2.35799044700136,0.03842566621414077,1.30694987042884,34.14181818181818,57.442,54.986,0.041278971409236975,5.25202958527833,5.312272727272728,7.93,22.261,75059.37142857142,125620.09249999998,5719.302777777778,35.0,76.0,36.0,2627078.0,9547127.03,205894.9,17086910.0,0.012021145219645606,10640919.0,10737198.0,4893013.0,16.0,0.04616167326172979,0.0037725205373197474,0.0008723721825864626,313670.0,0.0,6538.0,0.16782998666220472,0.3739686233973663,0.001180683768737259,4.226081539808059
Afghanistan,2003,0.025273003229782612,4520946818.54581,0.5051963825178325,0.0007022698243184791,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14340368756932273,0.7081740347854182,10.458,35.109,55.543,69.011,33.443,7.86,9.956,7.578,7.38,14.091,6.141,10.427,7.414,7.88,13.964,9.47,10.189,-2.35799044700136,0.03842566621414077,1.27849325196424,34.14181818181818,58.472,55.849,0.07328709186262894,6.14519400188515,5.312272727272728,7.88,22.353,96878.6,133275.83157894737,5649.063888888889,35.0,76.0,36.0,3390751.0,10128963.2,203366.3,17909063.0,0.0129528319120261,11306364.0,11426685.0,5155788.0,9.0,0.0015488976823063879,1.0848369625649885e-05,1.4429917106157932e-06,4754.0,0.0,0.0,0.16782998666220472,0.3339822748489355,0.0017649647110059956,0.12051947672667222
Afghanistan,2004,0.025273003229782612,5224896718.67782,0.4228111310839283,0.0009694837756154496,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14406275619283382,0.7049162672984759,10.535,35.109,55.529,69.011,33.479,7.86,9.956,7.578,7.38,14.091,6.141,10.447,7.432,7.899,13.964,9.478,10.2,-2.35799044700136,0.03842566621414077,3.577104200584,34.14181818181818,59.073,56.519,0.09490779901877855,3.57583485398158,5.312272727272728,7.899,22.5,86743.97142857143,121367.4119736842,5813.883333333333,35.0,76.0,36.0,3036039.0,9223923.31,209299.8,18692107.0,0.013521914762713484,11709120.0,11851533.0,5426872.0,3.0,0.0002035048049745619,0.00010848369625649885,8.080753579448441e-06,5540.0,0.0,18.0,0.16782998666220472,0.31396368783684353,0.0024365344951488874,0.02366865874900218
Afghanistan,2005,0.025273003229782612,6203256538.70967,0.5318220494116322,0.0013479143066725107,0.31038697009462685,0.3594678752116756,46.7098945514103,0.14549341735118712,0.7021162026816001,10.67,35.109,55.567,69.011,33.569,7.86,9.956,7.578,7.38,14.091,6.141,10.428,7.416,7.885,13.918,9.456,10.181,-2.35799044700136,0.03842566621414077,4.36867310434287,34.14181818181818,59.588,56.88,0.10969379123667733,3.51921696042587,5.312272727272728,7.885,22.703,99192.77142857145,150167.69894736842,5620.144444444445,35.0,76.0,36.0,3471747.0,11412745.12,202325.2,19378962.0,0.01410221142086821,12119909.0,12284657.0,5691836.0,12.0,0.00644431882419446,0.00011933206588214874,0.00010938165764809835,44720.0,2.376246941464333e-05,1856.0,0.16782998666220472,0.35183003331397983,0.0033876169847477447,0.47484185107161136
Afghanistan,2006,0.025273003229782612,6971758282.29351,0.4666048151615367,0.0015817654248726537,0.31038697009462685,0.2662322326335814,46.7098945514103,0.14755099744409972,0.6979968768510043,10.862,35.109,55.606,69.011,33.684,7.86,9.956,7.578,7.38,14.091,6.141,10.456,7.441,7.914,13.91,9.464,10.197,-2.35799044700136,0.03842566621414077,3.41377297323201,34.14181818181818,60.123,56.974,0.12004736931145321,4.09270201656348,5.312272727272728,7.914,22.907,97660.77142857145,136746.04210526316,5557.9944444444445,35.0,76.0,36.0,3418127.0,10392699.2,200087.8,19961972.0,0.014803264860024276,12618615.0,12805479.0,5931478.0,13.0,0.004318824194460147,0.0005017370951863071,0.006422799393702214,2233910.0,0.0,74323.0,0.16782998666220472,0.33110456207943284,0.005191922608711549,0.7594676797298419
Afghanistan,2007,0.025273003229782612,9747886187.39393,0.5606596504087205,0.002772417663974916,0.31038697009462685,0.29618516308805654,46.7098945514103,0.15092671478403444,0.6957622098971512,11.149,35.109,55.722,69.011,33.883,7.86,9.956,7.578,7.38,14.091,6.141,10.337,7.341,7.817,13.746,9.362,10.098,-2.35799044700136,0.08244312941306634,1.93570171391636,34.14181818181818,60.804,57.122,0.13368296396548818,1.8925975396006,5.312272727272728,7.817,23.113,98963.34285714284,155234.38513157895,5706.825000000001,35.0,76.0,36.0,3463717.0,11797813.27,205445.7,20464923.0,0.015137284769744736,12853489.0,13056362.0,6151869.0,7.0,0.0033465234595816845,5.4241848128249426e-05,7.721448643505109e-05,30255.0,0.0,0.0,0.16782998666220472,0.3708504899319255,0.007322248222426411,0.22974728293498944
Afghanistan,2008,0.025273003229782612,10109297047.5432,0.45069652554209066,0.0028367343356052073,0.31038697009462685,0.5764146447202236,46.7098945514103,0.1546882283913903,0.6893005223197457,11.478,35.109,55.755,69.011,34.062,7.86,9.956,7.578,7.38,14.091,6.141,10.397,7.393,7.878,13.749,9.384,10.135,-2.35799044700136,0.08725738455705442,0.45536044478174,34.14181818181818,61.428,57.984,0.15912705126036197,2.18654618162979,5.312272727272728,7.878,23.32,90067.45714285714,129646.33947368422,5885.930555555556,35.0,76.0,36.0,3152361.0,9853121.8,211893.5,20929119.0,0.015531136407166227,13131734.0,13350888.0,6364912.0,4.0,0.015081967213114755,0.0004936008179670698,0.0013062018684162585,452964.0,0.0,3417.0,0.16782998666220472,0.3357452328452414,0.004274295037564407,1.086892971897231
Afghanistan,2009,0.025273003229782612,12416152732.0567,0.6446669060679643,0.003657552448719561,0.31038697009462685,0.05144409074101991,46.7098945514103,0.1593820829783472,0.6860158311345645,11.869,29.90025,55.865,67.0655,34.313,7.86,9.956,7.578,7.38,14.091,6.141,10.243,7.264,7.754,13.539,9.252,10.008,2.23601941932175,0.07952116022202199,0.45188914562189,34.14181818181818,61.791,58.681,0.17739807139231933,3.64638090813246,5.312272727272728,7.754,23.528,104261.25714285714,168455.4947368421,7010.525,35.0,76.0,36.0,3649144.0,12802617.6,252378.9,21415593.0,0.01620740161076979,13612943.0,13853157.0,6588738.0,5.0,0.001141888072357264,0.00023323994695147252,0.00018043456947882,65857.0,9.410878976096369e-05,0.0,0.16782998666220472,0.4142601501846618,0.027927442542061514,0.1017787822737798
